order_id,order_date,customer_id,region,channel,category,product,quantity,unit_price,discount_rate,unit_cost
ORD000630,2024-01-01,C00024,East,Online,Home,Coffee Maker,1,93.82,0.1,52.25
ORD002343,2024-01-01,C00266,East,Online,Fitness,Yoga Mat,2,31.7,0.0,12.6
ORD003470,2024-01-01,C00513,East,Store,Beauty,Makeup Kit,1,41.78,0.1,14.0
ORD003470,2024-01-01,C00513,East,Store,Home,Storage Box,1,25.12,0.1,9.36
ORD003517,2024-01-01,C00620,East,Online,Beauty,Hair Dryer,1,83.55,0.0,39.0
ORD003517,2024-01-01,C00620,East,Online,Fitness,Resistance Bands,1,20.83,0.1,7.48
ORD003700,2024-01-01,C00788,South,Marketplace,Home,Lamp,1,50.71,0.05,21.12
ORD004261,2024-01-01,C00109,South,Store,Home,Coffee Maker,1,94.11,0.1,52.25
ORD004261,2024-01-01,C00109,South,Store,Home,Coffee Maker,3,101.75,0.0,52.25
ORD004731,2024-01-01,C00022,North,Marketplace,Electronics,Smartwatch,3,226.28,0.0,132.3
ORD005232,2024-01-01,C00067,North,Marketplace,Beauty,Hair Dryer,1,80.41,0.2,39.0
ORD005232,2024-01-01,C00067,North,Marketplace,Home,Lamp,2,49.19,0.05,21.12
ORD001368,2024-01-02,C00131,East,Online,Electronics,Headphones,1,91.33,0.0,49.3
ORD001368,2024-01-02,C00131,East,Online,Electronics,Headphones,1,89.74,0.15,49.3
ORD001530,2024-01-02,C00493,West,Store,Home,Storage Box,2,23.8,0.15,9.36
ORD002617,2024-01-02,C00498,East,Online,Fitness,Resistance Bands,1,22.59,0.0,7.48
ORD002617,2024-01-02,C00498,East,Online,Beauty,Skin Care Set,3,42.53,0.05,16.65
ORD003488,2024-01-02,C01098,South,Online,Fitness,Resistance Bands,1,23.01,0.15,7.48
ORD003488,2024-01-02,C01098,South,Online,Beauty,Hair Dryer,4,78.01,0.0,39.0
ORD000512,2024-01-03,C00630,East,Store,Electronics,Headphones,1,91.54,0.05,49.3
ORD000876,2024-01-03,C00434,West,Store,Electronics,Keyboard,2,67.52,0.0,33.8
ORD001759,2024-01-03,C00192,North,Online,Home,Storage Box,2,24.09,0.05,9.36
ORD001759,2024-01-03,C00192,North,Online,Electronics,Keyboard,1,61.59,0.05,33.8
ORD001968,2024-01-03,C00642,East,Online,Electronics,Keyboard,1,65.72,0.1,33.8
ORD002685,2024-01-03,C00139,West,Store,Electronics,Headphones,1,86.61,0.0,49.3
ORD003359,2024-01-03,C00697,North,Online,Electronics,Keyboard,1,65.34,0.05,33.8
ORD003620,2024-01-03,C00084,North,Store,Beauty,Hair Dryer,3,81.99,0.2,39.0
ORD003620,2024-01-03,C00084,North,Store,Beauty,Hair Dryer,2,74.2,0.1,39.0
ORD003743,2024-01-03,C00167,South,Marketplace,Beauty,Makeup Kit,2,42.73,0.0,14.0
ORD003743,2024-01-03,C00167,South,Marketplace,Electronics,Headphones,2,82.02,0.0,49.3
ORD004280,2024-01-03,C00580,South,Online,Fitness,Resistance Bands,3,22.37,0.0,7.48
ORD004280,2024-01-03,C00580,South,Online,Home,Coffee Maker,2,102.2,0.0,52.25
ORD004319,2024-01-03,C00028,North,Store,Beauty,Hair Dryer,2,83.04,0.05,39.0
ORD004319,2024-01-03,C00028,North,Store,Electronics,Smartwatch,1,203.65,0.3,132.3
ORD004989,2024-01-03,C02034,West,Online,Home,Storage Box,4,22.9,0.05,9.36
ORD004989,2024-01-03,C02034,West,Online,Electronics,Smartwatch,1,200.56,0.0,132.3
ORD000155,2024-01-04,C00406,West,Store,Home,Storage Box,2,22.7,0.15,9.36
ORD000399,2024-01-04,C00603,East,Marketplace,Electronics,Headphones,1,85.05,0.05,49.3
ORD000771,2024-01-04,C00706,East,Online,Electronics,Headphones,1,87.43,0.0,49.3
